date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:36	4726/4726	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:51%20GMT	https://www.basecreate.com/media/pages/testimonials/4c474818ee-1676519494/tencel-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/4c474818ee-1676519494/tencel-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:40	736/736	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:35%20GMT	https://www.basecreate.com/media/pages/testimonials/56248b49ff-1676519494/citic-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/56248b49ff-1676519494/citic-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:44	4267/4267	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:53%20GMT	https://www.basecreate.com/media/pages/testimonials/56248b49ff-1676519494/citic-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/56248b49ff-1676519494/citic-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:45	886/886	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:33%20GMT	https://www.basecreate.com/media/pages/testimonials/f0d4c3eab8-1676519494/aberfeldy-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/f0d4c3eab8-1676519494/aberfeldy-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:46	8247/8247	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:49%20GMT	https://www.basecreate.com/media/pages/testimonials/f0d4c3eab8-1676519494/aberfeldy-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/f0d4c3eab8-1676519494/aberfeldy-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:48	838/838	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:34%20GMT	https://www.basecreate.com/media/pages/testimonials/fb821aea68-1676519494/zegna-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/fb821aea68-1676519494/zegna-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:52	7023/7023	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:55%20GMT	https://www.basecreate.com/media/pages/testimonials/fb821aea68-1676519494/zegna-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/fb821aea68-1676519494/zegna-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:58	776/776	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:38%20GMT	https://www.basecreate.com/media/pages/testimonials/fa4541e3c3-1676519494/ocra-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/fa4541e3c3-1676519494/ocra-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:03	5627/5627	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:53%20GMT	https://www.basecreate.com/media/pages/testimonials/fa4541e3c3-1676519494/ocra-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/fa4541e3c3-1676519494/ocra-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:06	799/799	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:36%20GMT	https://www.basecreate.com/media/pages/testimonials/a7a90dae82-1676519494/candela-testimonal-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/a7a90dae82-1676519494/candela-testimonal-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:08	4813/4813	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:48%20GMT	https://www.basecreate.com/media/pages/testimonials/a7a90dae82-1676519494/candela-testimonal-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/a7a90dae82-1676519494/candela-testimonal-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:10	748/748	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:38%20GMT	https://www.basecreate.com/media/pages/testimonials/44b59192d2-1676519494/lamaisonduchocolat-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/44b59192d2-1676519494/lamaisonduchocolat-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:11	4870/4870	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:54%20GMT	https://www.basecreate.com/media/pages/testimonials/44b59192d2-1676519494/lamaisonduchocolat-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/44b59192d2-1676519494/lamaisonduchocolat-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:14	776/776	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:32%20GMT	https://www.basecreate.com/media/pages/testimonials/d232b06d51-1676519494/nustar-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/d232b06d51-1676519494/nustar-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:14	6237/6237	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:56%20GMT	https://www.basecreate.com/media/pages/testimonials/d232b06d51-1676519494/nustar-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/d232b06d51-1676519494/nustar-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:15	730/730	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:38%20GMT	https://www.basecreate.com/media/pages/testimonials/ec7ecb5e6f-1676519494/speeki-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/ec7ecb5e6f-1676519494/speeki-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:16	3913/3913	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:52%20GMT	https://www.basecreate.com/media/pages/testimonials/ec7ecb5e6f-1676519494/speeki-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/ec7ecb5e6f-1676519494/speeki-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:17	734/734	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:38%20GMT	https://www.basecreate.com/media/pages/testimonials/09ee7051a0-1676519494/manuka-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/09ee7051a0-1676519494/manuka-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:18	5384/5384	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:53%20GMT	https://www.basecreate.com/media/pages/testimonials/09ee7051a0-1676519494/manuka-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/09ee7051a0-1676519494/manuka-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:19	834/834	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:34%20GMT	https://www.basecreate.com/media/pages/testimonials/1f99266e09-1676519494/royaleintl-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/1f99266e09-1676519494/royaleintl-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:20	5788/5788	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:56%20GMT	https://www.basecreate.com/media/pages/testimonials/1f99266e09-1676519494/royaleintl-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/1f99266e09-1676519494/royaleintl-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:22	764/764	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:37%20GMT	https://www.basecreate.com/media/pages/testimonials/b5822eb228-1676519494/ics-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/b5822eb228-1676519494/ics-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:41:23	4747/4747	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:53%20GMT	https://www.basecreate.com/media/pages/testimonials/b5822eb228-1676519494/ics-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/b5822eb228-1676519494/ics-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
